benchmark_name,benchmark_cmd,target_cpu,runs,counter_value,counter_value_unit,event_name,variance_between_runs,run_time_of_counter,percentage_of_time_counter_was_running,metric_value,unit_of_metric
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',0,10,137682327,,cycles,1.03%,76463376,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',0,10,421564525,,instructions,0.00%,76462958,100.00,3.02,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',1,10,136850479,,cycles,1.33%,80503333,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',1,10,421564531,,instructions,0.00%,80502750,100.00,3.00,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',2,10,142487309,,cycles,0.72%,82941208,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',2,10,421564517,,instructions,0.00%,82940291,100.00,3.04,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',3,10,137694870,,cycles,0.80%,80862501,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',3,10,421564529,,instructions,0.00%,80862167,100.00,3.01,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',4,10,75543668,,cycles,0.26%,31949375,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',4,10,421564484,,instructions,0.00%,31949292,100.00,5.59,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',5,10,75115700,,cycles,0.20%,29399916,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',5,10,421564481,,instructions,0.00%,29399791,100.00,5.62,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',6,10,76017512,,cycles,0.21%,29729041,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',6,10,421564482,,instructions,0.00%,29728958,100.00,5.58,insn per cycle
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',7,10,74963650,,cycles,0.26%,31963959,100.00,,
loop/1000000,awk 'BEGIN{for(i=0;i<1000000;i++){}}',7,10,421564485,,instructions,0.00%,31963875,100.00,5.59,insn per cycle
